"Sens Factor = -0.667 dB, AGain = 18.0 dB, SERNO: 7103946"
Freq(Hz) SPL(dB) Phase(degrees)
432.266	0.4286
437.648	0.4222
443.096	0.4158
448.612	0.4095
454.196	0.4035
459.851	0.3976
465.575	0.3921
471.371	0.3869
477.239	0.382
483.18	0.3773
489.195	0.3728
495.285	0.3685
501.45	0.3642
507.693	0.3598
514.013	0.3552
520.412	0.3504
526.89	0.3452
533.449	0.3397
540.09	0.3339
546.814	0.3282
553.621	0.3224
560.513	0.3169
567.49	0.3115
574.555	0.3064
581.707	0.3015
588.949	0.2966
596.281	0.2916
603.703	0.2864
611.219	0.2808
618.828	0.2749
626.531	0.2688
634.331	0.2626
642.228	0.2563
650.222	0.2502
658.317	0.2444
666.512	0.2392
674.809	0.2343
683.21	0.2295
691.715	0.2247
700.326	0.2195
709.044	0.2141
717.871	0.2083
726.807	0.2021
735.855	0.1956
745.016	0.189
754.29	0.1822
763.68	0.1752
773.187	0.1677
782.812	0.1603
792.557	0.1528
802.424	0.1453
812.413	0.1379
822.526	0.1303
832.766	0.1227
843.133	0.1153
853.629	0.1077
864.255	0.1
875.014	0.0923
885.907	0.0845
896.935	0.0765
908.101	0.0682
919.406	0.0597
930.851	0.0511
942.439	0.042
954.171	0.033
966.049	0.0236
978.076	0.0139
990.251	0.004
1002.579	-0.0062
1015.06	-0.0167
1027.696	-0.0277
1040.489	-0.0388
1053.442	-0.0499
1066.556	-0.0609
1079.833	-0.0717
1093.276	-0.0822
1106.886	-0.0926
1120.665	-0.1025
1134.616	-0.1122
1148.741	-0.1213
1163.041	-0.1299
1177.519	-0.1381
1192.178	-0.1457
1207.019	-0.1529
1222.045	-0.16
1237.258	-0.1669
1252.66	-0.1735
1268.254	-0.1801
1284.042	-0.1865
1300.027	-0.1928
1316.211	-0.1988
1332.596	-0.2047
1349.185	-0.2104
1365.981	-0.2165
1382.985	-0.2225
1400.202	-0.2284
1417.633	-0.2342
1435.28	-0.2399
1453.148	-0.2455
1471.238	-0.2508
1489.553	-0.2556
1508.096	-0.2601
1526.87	-0.264
1545.877	-0.2673
1565.121	-0.27
1584.605	-0.2724
1604.332	-0.2742
1624.303	-0.2757
1644.524	-0.2766
1664.996	-0.2771
1685.723	-0.277
1706.708	-0.2766
1727.955	-0.2763
1749.466	-0.2758
1771.244	-0.2749
1793.294	-0.274
1815.618	-0.2727
1838.221	-0.271
1861.104	-0.2692
1884.272	-0.267
1907.729	-0.2645
1931.478	-0.2623
1955.523	-0.26
1979.866	-0.2572
2004.513	-0.254
2029.467	-0.2503
2054.731	-0.2462
2080.31	-0.2417
2106.207	-0.2372
2132.427	-0.2326
2158.973	-0.2283
2185.849	-0.2241
2213.06	-0.2201
2240.61	-0.2161
2268.503	-0.2124
2296.743	-0.2087
2325.334	-0.2053
2354.282	-0.2024
2383.59	-0.1997
2413.262	-0.197
2443.305	-0.1943
2473.721	-0.1916
2504.515	-0.1886
2535.693	-0.1853
2567.26	-0.1819
2599.219	-0.1785
2631.576	-0.175
2664.335	-0.1712
2697.503	-0.167
2731.084	-0.1624
2765.082	-0.1573
2799.504	-0.152
2834.354	-0.1465
2869.638	-0.1409
2905.362	-0.1358
2941.53	-0.1306
2978.148	-0.1251
3015.222	-0.1196
3052.758	-0.1139
3090.761	-0.1081
3129.237	-0.1023
3168.192	-0.0961
3207.632	-0.0899
3247.563	-0.0839
3287.991	-0.0782
3328.923	-0.0723
3370.364	-0.0663
3412.32	-0.06
3454.799	-0.0533
3497.807	-0.046
3541.351	-0.0377
3585.436	-0.0286
3630.07	-0.0187
3675.26	-0.0081
3721.012	0.0027
3767.334	0.0141
3814.233	0.0259
3861.715	0.0379
3909.789	0.05
3958.46	0.0618
4007.738	0.0733
4057.63	0.0845
4108.142	0.0947
4159.283	0.105
4211.061	0.1151
4263.483	0.1254
4316.559	0.1358
4370.294	0.1465
4424.699	0.1573
4479.781	0.1682
4535.548	0.1792
4592.01	0.1899
4649.175	0.2006
4707.051	0.2112
4765.648	0.2216
4824.975	0.2316
4885.039	0.2399
4945.852	0.2474
5007.421	0.2545
5069.757	0.2609
5132.87	0.2661
5196.768	0.2691
5261.46	0.2705
5326.959	0.2701
5393.273	0.2675
5460.413	0.2626
5528.388	0.2557
5597.209	0.2467
5666.887	0.2357
5737.433	0.2233
5808.857	0.2101
5881.169	0.1959
5954.383	0.1809
6028.507	0.1653
6103.555	0.1492
6179.536	0.1329
6256.464	0.1165
6334.349	0.1003
6413.204	0.0843
6493.04	0.0689
6573.87	0.0541
6655.706	0.0399
6738.562	0.0259
6822.448	0.0117
6907.379	-0.0031
6993.367	-0.0191
7080.426	-0.037
7168.568	-0.0576
7257.808	-0.082
7348.158	-0.1101
7439.633	-0.1435
7532.248	-0.1831
7626.015	-0.2287
7720.949	-0.2778
7817.065	-0.329
7914.377	-0.3818
8012.901	-0.4361
8112.652	-0.4921
8213.645	-0.5493
8315.894	-0.6103
8419.416	-0.6766
8524.228	-0.7494
8630.343	-0.8301
8737.78	-0.9183
8846.555	-1.0113
8956.683	-1.1071
9068.182	-1.2041
9181.069	-1.3015
9295.362	-1.3991
9411.078	-1.4971
9528.233	-1.5962
9646.849	-1.697
9766.939	-1.801
9888.525	-1.908
10011.625	-2.0179
10136.257	-2.1311
10262.44	-2.2473
10390.195	-2.3651
10519.54	-2.4856
10650.495	-2.6085
10783.08	-2.7338
10917.316	-2.8612
11053.223	-2.9907
11190.821	-3.1223
11330.133	-3.2557
11471.179	-3.3911
11613.98	-3.5274
11758.561	-3.6645
11904.939	-3.8009
12053.141	-3.9354
12203.188	-4.0666
12355.102	-4.1935
12508.907	-4.316
12664.627	-4.4345
12822.286	-4.5506
12981.907	-4.6656
13143.516	-4.7807
13307.136	-4.8966
13472.793	-5.0133
13640.512	-5.1302
13810.319	-5.2453
13982.24	-5.3573
14156.302	-5.4654
14332.529	-5.5673
14510.951	-5.6628
14691.595	-5.7538
14874.486	-5.843
15059.655	-5.9318
15247.129	-6.0206
15436.937	-6.1091
15629.106	-6.1971
15823.669	-6.2845
16020.654	-6.371
16220.091	-6.4564
16422.01	-6.5399
16626.443	-6.6213
16833.422	-6.7008
17042.977	-6.7783
17255.141	-6.8537
17469.945	-6.9258
17687.424	-6.9953
17907.609	-7.0693
18130.537	-7.1441
18356.24	-7.2191
18584.752	-7.2944
18816.107	-7.3702
19050.346	-7.4463
19287.498	-7.5222
19527.604	-7.5986
19770.697	-7.6759
20016.816	-7.7545
