"Sensitivity = -41.02059991327962 dB, AGain = 18 dB"
Freq(Hz) SPL(dB) Phase(degrees)
20.0,-23.064700475187855
20.2,-23.003876689224377
20.402,-22.94305290326089
20.60602,-22.8822291172974
20.8120802,-22.82140533133391
21.020201002,-22.760581545370428
21.230403012020002,-22.699757759406943
21.442707042140203,-22.63893397344345
21.657134112561604,-22.578110187479965
21.87370545368722,-22.517286401516476
22.092442508224092,-22.45646261555299
22.313366933306334,-22.3956388295895
22.536500602639396,-22.334815043626016
22.76186560866579,-22.27399125766253
22.98948426475245,-22.21316747169904
23.219379107399973,-22.152343685735556
23.451572898473973,-22.091212045458814
23.686088627458712,-22.025285079968587
23.9229495137333,-21.959358114478356
24.162179008870634,-21.89343114898812
24.40380079895934,-21.82750418349789
24.647838806948936,-21.76157721800766
24.894317195018427,-21.695650252517428
25.14326036696861,-21.629723287027197
25.3946929706383,-21.563796321536966
25.648639900344683,-21.497869356046735
25.90512629934813,-21.42960643986034
26.16417756234161,-21.358830406881594
26.425819337965027,-21.288054373902852
26.690077531344677,-21.217278340924103
26.956978306658126,-21.14650230794536
27.22654808972471,-21.07572627496662
27.498813570621955,-21.00495024198787
27.773801706328175,-20.934174209009125
28.051539723391457,-20.863398176030383
28.332055120625373,-20.789235066750766
28.61537567183163,-20.713864274060224
28.901529428549946,-20.638493481369682
29.190544722835444,-20.563122688679144
29.4824501700638,-20.487751895988605
29.777274671764438,-20.412381103298063
30.075047418482082,-20.337010310607525
30.375797892666903,-20.261639517916983
30.67955587159357,-20.18326120882831
30.986351430309508,-20.10355015824617
31.296214944612604,-20.023839107664024
31.60917709405873,-19.944128057081883
31.925268864999317,-19.86441700649975
32.244521553649314,-19.784705955917605
32.566966769185804,-19.704994905335464
32.89263643687766,-19.624282293111076
33.221562801246435,-19.540485657183133
33.5537784292589,-19.456689021255187
33.88931621355149,-19.37289238532724
34.228209375687,-19.2890957493993
34.57049146944387,-19.20529911347136
34.91619638413831,-19.121502477543412
35.26535834797969,-19.036512865403374
35.61801193145949,-18.948885452029987
35.974192050774086,-18.861258038656604
36.33393397128183,-18.773630625283218
36.697273310994646,-18.68600321190984
37.06424604410459,-18.598375798536452
37.43488850454564,-18.51074838516307
37.8092373895911,-18.42016961884341
38.18732976348701,-18.328966329184283
38.569203061121875,-18.23776303952515
38.95489509173309,-18.14655974986602
39.34444404265042,-18.05535646020689
39.73788848307693,-17.964153170547757
40.1352673679077,-17.870516880506504
40.53662004158678,-17.775992663231833
40.94198624200265,-17.681468445957158
41.35140610442268,-17.586944228682484
41.764920165466904,-17.492420011407816
42.18256936712157,-17.397895794133145
42.60439506079279,-17.300341612215995
43.030439011400716,-17.202751415921174
43.460743401514726,-17.105161219626346
43.895350835529875,-17.007571023331522
44.33430434388517,-16.909980827036698
44.77764738732402,-16.810831767664233
45.225423861197264,-16.710430492544653
45.677678099809235,-16.61002921742507
46.134454880807326,-16.509627942305492
46.5957994296154,-16.40922666718591
47.06175742391155,-16.307803881175996
47.532374998150665,-16.20484633063268
48.00769874813217,-16.10188878008936
48.487775735613496,-15.998931229546038
48.972653492969634,-15.895973679002715
49.46238002789933,-15.791873978603736
49.95700382817832,-15.686614811192136
50.456573866460104,-15.581355643780533
50.96113960512471,-15.476096476368927
51.470751001175955,-15.370837308957322
51.985458511187716,-15.263897400086567
52.505313096299595,-15.15659108206157
53.03036622726259,-15.049284764036575
53.56066988953522,-14.94197844601158
54.09627658843057,-14.834038061053167
54.63723935431488,-14.724938819663095
55.18361174785803,-14.615839578273018
55.73544786533661,-14.506740336882944
56.292802343989976,-14.397523449922744
56.85573036742988,-14.286885227541584
57.424287671104175,-14.17624700516042
57.998530547815214,-14.065608782779258
58.57851585329337,-13.954970560398102
59.1643010118263,-13.843080559809273
59.755944021944565,-13.731156968955823
60.353503462164014,-13.619233378102372
60.95703849678566,-13.507276534027113
61.56660888175352,-13.394320813293529
62.18227497057105,-13.281365092559945
62.804097720276765,-13.168409371826364
63.43213869747953,-13.055267126446621
64.06646008445432,-12.941532097342186
64.70712468529887,-12.827797068237754
65.35419593215185,-12.71406203913332
66.00773789147337,-12.600019047758705
66.6678152703881,-12.485757072464143
67.33449342309198,-12.371495097169582
68.00783835732291,-12.25721722754681
68.68791674089614,-12.142680167567809
69.3747959083051,-12.028143107588804
70.06854386738816,-11.913606047609798
70.76922930606204,-11.799053524144338
71.47692159912266,-11.684492699849145
72.19169081511389,-11.569931875553944
72.91360772326503,-11.45545170737573
73.64274380049768,-11.341117858399445
74.37917123850266,-11.22678400942316
75.1229629508877,-11.112528706617557
75.87419258039658,-10.998671953114808
76.63293450620054,-10.884815199612058
77.39926385126255,-10.771010836691643
78.17325648977517,-10.657880641418995
78.95498905467292,-10.544750446146342
79.74453894521965,-10.431690386454001
80.54198433467184,-10.319535517663727
81.34740417801855,-10.207380648873448
82.16087821979873,-10.095419911335538
82.98248700199672,-9.984488406462924
83.81231187201668,-9.873556901590305
84.65043499073684,-9.763107083584252
85.4969393406442,-9.653646213711248
86.35190873405065,-9.54418534383824
87.21542782139116,-9.43571002775918
88.08758209960507,-9.32796626283805
88.96845792060113,-9.220222497916916
89.85814249980714,-9.114233080314648
90.75672392480521,-9.008452055136079
91.66429116405327,-8.903296440496204
92.5809340756938,-8.79972292138725
93.50674341645075,-8.69614940227829
94.44181085061525,-8.594387182322782
95.38622895912141,-8.49326503456072
96.34009124871262,-8.392836144889772
97.30349216119976,-8.294408300818924
98.27652708281175,-8.195980456748078
99.25929235363988,-8.10000592996507
