frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,equalized_raw,equalized_smoothed,target
40.94,-1.32,-1.32,-1.32,-1.32,1.32,1.31,-0.00,-0.00,0.00
41.35,-1.42,-1.42,-1.42,-1.42,1.42,1.41,-0.00,-0.00,0.00
41.76,-1.51,-1.51,-1.51,-1.51,1.51,1.51,0.00,0.00,0.00
42.18,-1.61,-1.61,-1.61,-1.61,1.61,1.60,0.00,0.00,0.00
42.60,-1.71,-1.71,-1.71,-1.71,1.71,1.70,0.00,0.00,0.00
43.03,-1.81,-1.81,-1.80,-1.80,1.80,1.80,-0.00,-0.00,0.00
43.46,-1.90,-1.90,-1.90,-1.90,1.90,1.89,-0.00,-0.00,0.00
43.90,-2.00,-2.00,-2.00,-2.00,2.00,1.99,-0.00,-0.00,0.00
44.33,-2.10,-2.10,-2.10,-2.10,2.10,2.09,0.00,0.00,0.00
44.78,-2.20,-2.20,-2.20,-2.20,2.20,2.19,0.00,0.00,0.00
45.23,-2.29,-2.29,-2.29,-2.29,2.29,2.29,-0.00,0.00,0.00
45.68,-2.39,-2.39,-2.39,-2.39,2.39,2.39,-0.00,-0.00,0.00
46.13,-2.49,-2.49,-2.49,-2.49,2.49,2.49,-0.00,-0.00,0.00
46.60,-2.59,-2.59,-2.59,-2.59,2.59,2.59,0.00,0.00,0.00
47.06,-2.69,-2.69,-2.69,-2.69,2.69,2.69,0.00,0.00,0.00
47.53,-2.79,-2.79,-2.79,-2.79,2.79,2.79,0.00,0.00,0.00
48.01,-2.89,-2.89,-2.89,-2.89,2.89,2.89,-0.00,-0.00,0.00
48.49,-2.99,-2.99,-2.99,-2.99,2.99,3.00,-0.00,-0.00,0.00
48.97,-3.09,-3.09,-3.09,-3.09,3.09,3.10,0.00,-0.00,0.00
49.46,-3.19,-3.19,-3.19,-3.19,3.19,3.20,0.00,0.00,0.00
49.96,-3.29,-3.29,-3.29,-3.29,3.29,3.31,0.00,0.00,0.00
50.46,-3.39,-3.39,-3.39,-3.39,3.39,3.41,-0.00,-0.00,0.00
50.96,-3.49,-3.49,-3.49,-3.49,3.49,3.51,-0.00,-0.00,0.00
51.47,-3.59,-3.59,-3.59,-3.59,3.59,3.62,-0.00,-0.00,0.00
51.99,-3.69,-3.69,-3.69,-3.69,3.69,3.72,0.00,0.00,0.00
52.51,-3.79,-3.79,-3.79,-3.79,3.79,3.83,0.00,0.00,0.00
53.03,-3.89,-3.89,-3.89,-3.89,3.89,3.93,0.00,0.00,0.00
53.56,-3.98,-3.98,-3.98,-3.98,3.98,4.03,-0.00,-0.00,0.00
54.10,-4.08,-4.08,-4.08,-4.08,4.08,4.14,-0.00,-0.00,0.00
54.64,-4.18,-4.18,-4.18,-4.18,4.18,4.24,0.00,0.00,0.00
55.18,-4.28,-4.28,-4.28,-4.28,4.28,4.35,0.00,0.00,0.00
55.74,-4.38,-4.38,-4.38,-4.38,4.38,4.45,-0.00,-0.00,0.00
56.29,-4.48,-4.48,-4.48,-4.48,4.48,4.55,-0.00,-0.00,0.00
56.86,-4.58,-4.58,-4.58,-4.58,4.58,4.66,0.00,0.00,0.00
57.42,-4.68,-4.68,-4.68,-4.68,4.68,4.76,0.00,0.00,0.00
58.00,-4.77,-4.77,-4.77,-4.77,4.77,4.86,0.00,-0.00,0.00
58.58,-4.87,-4.87,-4.87,-4.87,4.87,4.96,-0.00,-0.00,0.00
59.16,-4.97,-4.97,-4.97,-4.97,4.97,5.06,0.00,0.00,0.00
59.76,-5.07,-5.07,-5.07,-5.07,5.07,5.16,0.00,-0.00,0.00
60.35,-5.16,-5.16,-5.16,-5.16,5.16,5.26,0.00,0.00,0.00
60.96,-5.26,-5.26,-5.26,-5.26,5.26,5.36,-0.00,-0.00,0.00
61.57,-5.35,-5.35,-5.35,-5.35,5.35,5.45,0.00,0.00,0.00
62.18,-5.45,-5.45,-5.45,-5.45,5.45,5.55,0.00,-0.00,0.00
62.80,-5.54,-5.54,-5.54,-5.54,5.54,5.64,-0.00,0.00,0.00
63.43,-5.64,-5.64,-5.64,-5.64,5.64,5.73,-0.00,0.00,0.00
64.07,-5.73,-5.73,-5.73,-5.73,5.73,5.83,0.00,-0.00,0.00
64.71,-5.82,-5.82,-5.82,-5.82,5.82,5.92,0.00,-0.00,0.00
65.35,-5.92,-5.92,-5.92,-5.92,5.92,6.01,-0.00,0.00,0.00
66.01,-6.01,-6.01,-6.01,-6.01,6.01,6.09,-0.00,0.00,0.00
66.67,-6.10,-6.10,-6.10,-6.10,6.10,6.18,0.00,-0.00,0.00
67.33,-6.19,-6.19,-6.19,-6.19,6.19,6.27,0.00,-0.00,0.00
68.01,-6.28,-6.28,-6.28,-6.28,6.28,6.35,-0.00,0.00,0.00
68.69,-6.36,-6.36,-6.36,-6.36,6.36,6.43,0.00,-0.00,0.00
69.37,-6.45,-6.45,-6.45,-6.45,6.45,6.51,0.00,-0.00,0.00
70.07,-6.54,-6.54,-6.54,-6.54,6.54,6.59,-0.00,0.00,0.00
70.77,-6.62,-6.62,-6.62,-6.62,6.62,6.67,-0.00,0.00,0.00
71.48,-6.70,-6.70,-6.71,-6.71,6.71,6.74,0.00,-0.00,0.00
72.19,-6.79,-6.79,-6.79,-6.79,6.79,6.82,-0.00,0.00,0.00
72.91,-6.87,-6.87,-6.87,-6.87,6.87,6.89,-0.00,0.00,0.00
73.64,-6.95,-6.95,-6.95,-6.95,6.95,6.96,0.00,-0.00,0.00
74.38,-7.03,-7.03,-7.03,-7.03,7.03,7.04,0.00,-0.00,0.00
75.12,-7.11,-7.11,-7.11,-7.11,7.11,7.10,-0.00,0.00,0.00
75.87,-7.18,-7.18,-7.18,-7.18,7.18,7.17,0.00,-0.00,0.00
76.63,-7.26,-7.26,-7.26,-7.26,7.26,7.24,0.00,-0.00,0.00
77.40,-7.33,-7.33,-7.33,-7.33,7.33,7.31,-0.00,0.00,0.00
78.17,-7.40,-7.40,-7.40,-7.40,7.40,7.37,0.00,-0.00,0.00
78.95,-7.47,-7.47,-7.47,-7.47,7.47,7.43,0.00,-0.00,0.00
79.74,-7.54,-7.54,-7.54,-7.54,7.54,7.50,-0.00,0.00,0.00
80.54,-7.61,-7.61,-7.61,-7.61,7.61,7.56,0.00,-0.00,0.00
81.35,-7.67,-7.67,-7.68,-7.68,7.68,7.62,0.00,-0.00,0.00
82.16,-7.74,-7.74,-7.74,-7.74,7.74,7.68,-0.00,0.00,0.00
82.98,-7.80,-7.80,-7.80,-7.80,7.80,7.74,0.00,-0.00,0.00
83.81,-7.86,-7.86,-7.86,-7.86,7.86,7.79,0.00,0.00,0.00
84.65,-7.92,-7.92,-7.92,-7.92,7.92,7.85,-0.00,0.00,0.00
85.50,-7.97,-7.97,-7.97,-7.97,7.97,7.90,0.00,-0.00,0.00
86.35,-8.02,-8.02,-8.02,-8.02,8.02,7.96,-0.00,0.00,0.00
87.22,-8.07,-8.07,-8.07,-8.07,8.07,8.01,0.00,0.00,0.00
88.09,-8.12,-8.12,-8.12,-8.12,8.12,8.06,0.00,-0.00,0.00
88.97,-8.17,-8.17,-8.17,-8.17,8.17,8.10,-0.00,0.00,0.00
89.86,-8.21,-8.21,-8.21,-8.21,8.21,8.15,0.00,-0.00,0.00
90.76,-8.25,-8.25,-8.25,-8.25,8.25,8.20,0.00,0.00,0.00
91.66,-8.29,-8.29,-8.29,-8.29,8.29,8.24,-0.00,0.00,0.00
92.58,-8.32,-8.32,-8.32,-8.32,8.32,8.28,0.00,-0.00,0.00
93.51,-8.36,-8.36,-8.36,-8.36,8.36,8.31,-0.00,0.00,0.00
94.44,-8.38,-8.38,-8.39,-8.39,8.39,8.34,0.00,-0.00,0.00
95.39,-8.41,-8.41,-8.41,-8.41,8.41,8.37,0.00,0.00,0.00
96.34,-8.43,-8.43,-8.43,-8.43,8.44,8.40,0.00,0.00,0.00
97.30,-8.45,-8.45,-8.45,-8.45,8.46,8.42,0.00,0.00,0.00
98.28,-8.47,-8.47,-8.47,-8.47,8.48,8.44,0.01,0.01,0.00
99.26,-8.48,-8.48,-8.48,-8.48,8.49,8.45,0.01,0.01,0.00
100.25,-8.49,-8.49,-8.49,-8.49,8.50,8.45,0.01,0.01,0.00
101.25,-8.50,-8.50,-8.50,-8.50,8.50,8.45,-0.00,-0.01,0.00
102.27,-8.50,-8.50,-8.50,-8.50,8.48,8.44,-0.01,-0.01,0.00
103.29,-8.49,-8.49,-8.48,-8.48,8.46,8.43,-0.03,-0.02,0.00
104.32,-8.44,-8.44,-8.44,-8.44,8.43,8.41,-0.01,-0.01,0.00
105.37,-8.38,-8.38,-8.39,-8.39,8.38,8.38,0.00,-0.00,0.00
106.42,-8.32,-8.32,-8.32,-8.32,8.33,8.34,0.01,0.01,0.00
107.48,-8.26,-8.26,-8.26,-8.26,8.27,8.30,0.01,0.01,0.00
108.56,-8.19,-8.19,-8.19,-8.19,8.19,8.25,0.01,0.01,0.00
109.64,-8.11,-8.11,-8.11,-8.11,8.12,8.18,0.00,0.00,0.00
110.74,-8.03,-8.03,-8.03,-8.03,8.04,8.11,0.00,0.00,0.00
111.85,-7.95,-7.95,-7.95,-7.95,7.95,8.03,-0.00,-0.00,0.00
112.97,-7.86,-7.86,-7.86,-7.86,7.86,7.95,-0.00,-0.00,0.00
114.10,-7.77,-7.77,-7.77,-7.77,7.77,7.85,0.00,0.00,0.00
115.24,-7.67,-7.67,-7.67,-7.67,7.67,7.75,-0.00,-0.00,0.00
116.39,-7.56,-7.56,-7.56,-7.56,7.56,7.63,0.00,0.00,0.00
117.55,-7.45,-7.45,-7.45,-7.45,7.45,7.51,-0.00,0.00,0.00
118.73,-7.34,-7.34,-7.34,-7.34,7.34,7.38,0.00,0.00,0.00
119.92,-7.22,-7.22,-7.22,-7.22,7.22,7.25,-0.00,-0.00,0.00
121.12,-7.10,-7.10,-7.10,-7.10,7.09,7.11,-0.00,-0.00,0.00
122.33,-6.97,-6.97,-6.97,-6.97,6.96,6.96,-0.00,-0.00,0.00
123.55,-6.83,-6.83,-6.83,-6.83,6.83,6.80,-0.00,-0.00,0.00
124.79,-6.69,-6.69,-6.69,-6.69,6.69,6.64,-0.00,-0.00,0.00
126.03,-6.54,-6.54,-6.54,-6.54,6.54,6.47,0.00,0.00,0.00
127.29,-6.39,-6.39,-6.39,-6.39,6.39,6.30,0.00,0.00,0.00
128.57,-6.24,-6.24,-6.24,-6.24,6.24,6.13,-0.00,0.00,0.00
129.85,-6.08,-6.08,-6.08,-6.08,6.08,5.95,0.00,-0.00,0.00
131.15,-5.91,-5.91,-5.91,-5.91,5.91,5.77,-0.00,-0.00,0.00
132.46,-5.74,-5.74,-5.74,-5.74,5.74,5.58,0.00,-0.00,0.00
133.79,-5.57,-5.57,-5.57,-5.57,5.57,5.40,-0.00,-0.00,0.00
135.12,-5.39,-5.39,-5.39,-5.39,5.39,5.21,-0.00,-0.00,0.00
136.48,-5.21,-5.21,-5.21,-5.21,5.21,5.01,-0.00,-0.00,0.00
137.84,-5.02,-5.02,-5.02,-5.02,5.02,4.82,0.00,0.00,0.00
139.22,-4.83,-4.83,-4.83,-4.83,4.83,4.63,0.00,0.00,0.00
140.61,-4.64,-4.64,-4.64,-4.64,4.64,4.43,0.00,0.00,0.00
142.02,-4.44,-4.44,-4.44,-4.44,4.44,4.23,0.00,0.00,0.00
143.44,-4.24,-4.24,-4.24,-4.24,4.24,4.04,-0.00,-0.00,0.00
144.87,-4.04,-4.04,-4.04,-4.04,4.04,3.84,-0.00,-0.00,0.00
146.32,-3.83,-3.83,-3.83,-3.83,3.83,3.65,0.00,-0.00,0.00
147.78,-3.63,-3.63,-3.63,-3.63,3.63,3.45,-0.00,-0.00,0.00
149.26,-3.42,-3.42,-3.42,-3.42,3.42,3.25,0.00,-0.00,0.00
150.75,-3.21,-3.21,-3.21,-3.21,3.21,3.06,-0.00,-0.00,0.00
152.26,-2.99,-2.99,-2.99,-2.99,2.99,2.86,-0.00,-0.00,0.00
153.78,-2.78,-2.78,-2.78,-2.78,2.78,2.67,-0.00,-0.00,0.00
155.32,-2.56,-2.56,-2.56,-2.56,2.56,2.48,-0.00,-0.00,0.00
156.88,-2.35,-2.35,-2.35,-2.35,2.35,2.28,-0.00,-0.00,0.00
158.44,-2.13,-2.13,-2.13,-2.13,2.13,2.09,-0.00,-0.00,0.00
160.03,-1.91,-1.91,-1.91,-1.91,1.91,1.90,-0.00,-0.00,0.00
161.63,-1.69,-1.69,-1.69,-1.69,1.69,1.71,-0.00,-0.00,0.00
163.24,-1.47,-1.47,-1.47,-1.47,1.47,1.53,-0.00,-0.00,0.00
164.88,-1.25,-1.25,-1.25,-1.25,1.25,1.34,0.00,0.00,0.00
166.53,-1.04,-1.04,-1.04,-1.04,1.04,1.16,0.00,0.00,0.00
168.19,-0.82,-0.82,-0.82,-0.82,0.82,0.97,0.00,0.00,0.00
169.87,-0.61,-0.61,-0.61,-0.61,0.61,0.79,-0.00,-0.00,0.00
171.57,-0.41,-0.41,-0.41,-0.41,0.41,0.61,-0.00,-0.00,0.00
173.29,-0.20,-0.20,-0.20,-0.20,0.20,0.43,0.00,-0.00,0.00
175.02,-0.00,-0.00,-0.00,-0.00,0.00,0.26,0.00,0.00,0.00
176.77,0.19,0.19,0.19,0.19,-0.19,0.09,0.00,0.00,0.00
178.54,0.38,0.38,0.38,0.38,-0.38,-0.09,0.00,0.00,0.00
180.32,0.56,0.56,0.56,0.56,-0.56,-0.26,0.00,0.00,0.00
182.13,0.74,0.74,0.74,0.74,-0.73,-0.42,0.00,0.00,0.00
183.95,0.90,0.90,0.90,0.90,-0.90,-0.59,0.00,0.00,0.00
185.79,1.06,1.06,1.06,1.06,-1.06,-0.75,0.00,0.00,0.00
187.65,1.22,1.22,1.22,1.22,-1.22,-0.91,-0.00,-0.00,0.00
189.52,1.37,1.37,1.37,1.37,-1.37,-1.07,-0.00,0.00,0.00
191.42,1.51,1.51,1.51,1.51,-1.50,-1.23,0.00,0.00,0.00
193.33,1.64,1.64,1.64,1.64,-1.64,-1.38,0.00,0.00,0.00
195.27,1.76,1.76,1.76,1.76,-1.76,-1.53,0.00,0.00,0.00
197.22,1.88,1.88,1.88,1.88,-1.88,-1.67,0.00,0.00,0.00
199.19,1.99,1.99,1.99,1.99,-1.99,-1.82,0.00,0.00,0.00
201.18,2.10,2.10,2.10,2.10,-2.10,-1.96,-0.00,-0.00,0.00
203.19,2.20,2.20,2.20,2.20,-2.20,-2.09,-0.00,-0.00,0.00
205.23,2.29,2.29,2.29,2.29,-2.29,-2.22,-0.00,-0.00,0.00
207.28,2.39,2.39,2.39,2.39,-2.39,-2.35,-0.00,-0.00,0.00
209.35,2.47,2.47,2.47,2.47,-2.47,-2.47,0.00,0.00,0.00
211.44,2.56,2.56,2.56,2.56,-2.56,-2.59,-0.00,-0.00,0.00
213.56,2.64,2.64,2.64,2.64,-2.64,-2.71,-0.00,-0.00,0.00
215.69,2.72,2.72,2.72,2.72,-2.72,-2.82,-0.00,-0.00,0.00
217.85,2.79,2.79,2.79,2.79,-2.80,-2.92,-0.00,-0.00,0.00
220.03,2.87,2.87,2.87,2.87,-2.87,-3.02,-0.00,-0.00,0.00
222.23,2.94,2.94,2.94,2.94,-2.94,-3.12,0.00,0.00,0.00
224.45,3.01,3.01,3.01,3.01,-3.00,-3.21,0.00,0.00,0.00
226.70,3.07,3.07,3.07,3.07,-3.06,-3.29,0.00,0.00,0.00
228.96,3.12,3.12,3.12,3.12,-3.12,-3.37,0.00,0.00,0.00
231.25,3.18,3.18,3.18,3.18,-3.17,-3.45,0.00,0.00,0.00
233.57,3.22,3.22,3.22,3.22,-3.22,-3.52,0.00,0.00,0.00
235.90,3.27,3.27,3.27,3.27,-3.27,-3.58,-0.00,-0.00,0.00
238.26,3.31,3.31,3.31,3.31,-3.31,-3.64,-0.00,-0.00,0.00
240.64,3.35,3.35,3.35,3.35,-3.35,-3.69,-0.00,-0.00,0.00
243.05,3.39,3.39,3.39,3.39,-3.39,-3.74,-0.00,-0.00,0.00
245.48,3.42,3.42,3.42,3.42,-3.43,-3.78,-0.00,-0.00,0.00
247.93,3.46,3.46,3.46,3.46,-3.46,-3.82,-0.00,-0.00,0.00
250.41,3.50,3.50,3.50,3.50,-3.50,-3.85,-0.00,-0.00,0.00
252.92,3.53,3.53,3.53,3.53,-3.54,-3.87,-0.00,-0.00,0.00
255.45,3.57,3.57,3.57,3.57,-3.57,-3.89,0.00,-0.00,0.00
258.00,3.61,3.61,3.61,3.61,-3.61,-3.91,0.00,0.00,0.00
260.58,3.64,3.64,3.64,3.64,-3.64,-3.92,0.00,0.00,0.00
263.19,3.67,3.67,3.67,3.67,-3.67,-3.93,0.00,0.00,0.00
265.82,3.70,3.70,3.70,3.70,-3.70,-3.93,0.00,0.00,0.00
268.48,3.73,3.73,3.73,3.73,-3.73,-3.93,-0.00,-0.00,0.00
271.16,3.75,3.75,3.76,3.76,-3.76,-3.92,-0.00,-0.00,0.00
273.87,3.78,3.78,3.78,3.78,-3.78,-3.91,-0.00,-0.00,0.00
